Категория;Подкатегория 2;Подкатегория 3;Артикул;Артикул модификации;Имя товара;Категория (полный путь);Цена;Дата продажи;Цена старая;Цена закупки;Количество;Описание;Краткое описание;Производитель;Вес;Meta title;Meta keywords;Meta description;Фото (через пробел);Ссылки на фото (через пробел);Ссылка на товар на источнике;Характеристики (HTML/Table);Вид;Тип;Интерфейс подключения;Количество каналов;Аудиочип;Поддержка стандартов;Поддержка ASIO;Разрядность;Макс. частота дискретизации;Соотношение сигнал/шум;Дополнительно;mini-Jack (3.5 мм);Оптический S/P-DIF;RCA;Поддержка Mac;Дополнительное питание;Динамический диапазон;Коаксиальный S/P-DIF;Jack (6.35 мм);Для iPhone/iPod/iPad;MIDI;Поколение связи;Технология передачи;Оператор (провайдер);Функции/возможности;Подключение и разъемы;Питание;Габариты;Вес;Скорость подключения Wi-Fi;Радиус действия;Кол-во подключаемых устройств;Ёмкость аккумулятора;Время работы в режиме интернет-серфинга;Время работы в режиме ожидания
Компьютерная техника;Комплектующие;Звуковые карты;356165;;Звуковая карта Creative Sound Blaster Z;Компьютерная техника->Комплектующие->Звуковые карты;5907;29.12.2019;;;9;"Соотношение сигнал/шум (дБ): 116; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Количество каналов: 5.1; Интерфейс подключения: PCIe; Тип: внутренняя; Вид: геймерская <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">54</span> оценки)</span></div>";;Creative;0;;;;356165_-1443126295.jpg edeei919h71_1358341660.jpg;http://magazilla.ru/jpg_zoom1/356165.jpg http://mzimg.com/big/71/edeei919h71.jpg;http://magazilla.ru/desc/creative-sound-blaster-z/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>Sound Core3D</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>DTS Connect, Dolby Digital Live</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>116 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;05.янв;Sound Core3D;DTS Connect, Dolby Digital Live;да;24 бит;192 кГц;116 дБ;Усилитель для наушников;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;345995;;Звуковая карта Asus Xonar DG;Компьютерная техника->Комплектующие->Звуковые карты;2200;01.10.2019;;;13;"Соотношение сигнал/шум (дБ): 105; Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Количество каналов: 5.1; Интерфейс подключения: PCI; Тип: внутренняя; Вид: геймерская <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>5</span> из <span property=""v:best"">5</span> (<span property=""v:count"">39</span> оценок)</span></div>";;Asus;0;;;;345995_-962910853.jpg ebyfvu931o1_-481327526.jpg;http://magazilla.ru/jpg_zoom1/345995.jpg http://mzimg.com/big/o1/ebyfvu931o1.jpg;http://magazilla.ru/desc/asus-xonar-dg/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCI</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>C-Media CMI8786</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>105 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCI;05.янв;C-Media CMI8786;;;24 бит;96 кГц;105 дБ;Усилитель для наушников;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346030;;Звуковая карта Asus Xonar DGX;Компьютерная техника->Комплектующие->Звуковые карты;2605,9;22.06.2020;;;11;"Соотношение сигнал/шум (дБ): 105; Макс. частота дискретизации (кГц): 96; Разрядность (бит): 24; Количество каналов: 5.1; Интерфейс подключения: PCIe; Тип: внутренняя; Вид: геймерская <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">23</span> оценки)</span></div>";;Asus;0;;;;346030_-1032255550.jpg ebyiyfxq2o1_-313557884.jpg;http://magazilla.ru/jpg_zoom1/346030.jpg http://mzimg.com/big/o1/ebyiyfxq2o1.jpg;http://magazilla.ru/desc/asus-xonar-dgx/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>C-Media CMI8786</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>105 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;05.янв;C-Media CMI8786;;;24 бит;96 кГц;105 дБ;Усилитель для наушников;1 / линейный/микрофон /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346235;;Звуковая карта Creative Sound Blaster X-Fi Surround 5.1 Pro;Компьютерная техника->Комплектующие->Звуковые карты;4216,3;04.07.2022;;;7;"Звуковая плата с пультом дистанционного управления в комплекте. Может похвастаться поддержкой технологии SBX Pro Studio для улучшения звучания музыки, фильмов и игр. Обеспечивает возможность вывода закодированного на лету 5.1-канального звука на внешний ресивер. Что касается соотношения сигнал/шум, то заявлено значение на уровне 100 дБ. Устройство весьма простое в использовании, подключается посредством интерфейса USB, питание от шины. У модели есть старший брат – Sound Blaster Omni Surround 5.1. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">51</span> оценка)</span></div>";;Creative;0;;;;346235_1056966594.jpg ec1udh56nv1_1620578002.jpg ec1udvs6sy1_986583381.jpg;http://magazilla.ru/jpg_zoom1/346235.jpg http://mzimg.com/big/v1/ec1udh56nv1.jpg http://mzimg.com/big/y1/ec1udvs6sy1.jpg;http://magazilla.ru/desc/creative-sound-blaster-x-fi-surround-5-1-pro/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>X-Fi</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>EAX Advanced 5.0, Dolby Digital Live</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит / 16 бит (5.1) /</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц / 48 кГц (5.1) /</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>100 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Пульт ДУ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2 / линейный/микрофон /</td>
</tr>

<tr>

<td>RCA</td><td>2</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;05.янв;X-Fi;EAX Advanced 5.0, Dolby Digital Live;;24 бит / 16 бит (5.1) /;96 кГц / 48 кГц (5.1) /;100 дБ;Пульт ДУ;2 / линейный/микрофон /;1;2;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;347574;;Звуковая карта Creative Sound Blaster Audigy Rx;Компьютерная техника->Комплектующие->Звуковые карты;4631;13.01.2018;;;12;"Решение среднего уровня – 7.1-канальная звуковая карта с интерфейсом подключения PCI Express. Одно из главных предназначений модели – обеспечение максимального качества при прослушивании музыки и просмотре фильмов. Оборудована цифро-аналоговым преобразователем, позволяющим воспроизводить сигнал с битрейтом 24 бит/192 кГц. Заявленное соотношение сигнал/шум составляет 106 дБ. Отдельного внимания заслуживает встроенный усилитель для наушников с сопротивлением 600 Ом. Реализован двойной вход для микрофона для одновременной записи нескольких человек. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">18</span> оценок)</span></div>";;Creative;0;;;;347574_640952203.jpg eci9lwwynd1_-1308906889.jpg;http://magazilla.ru/jpg_zoom1/347574.jpg http://mzimg.com/big/d1/eci9lwwynd1.jpg;http://magazilla.ru/desc/creative-sound-blaster-audigy-rx/;"<table>

<tr>

<td>Вид</td><td>аудиофильская (Hi-Fi)</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>E-MU 10K2</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>EAX</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>106 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников / до 600 Ом /</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>3 / линейный, 2 микрофоных /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";аудиофильская (Hi-Fi);внутренняя;PCIe;07.янв;E-MU 10K2;EAX;да;24 бит;192 кГц;106 дБ;Усилитель для наушников / до 600 Ом /;3 / линейный, 2 микрофоных /;1;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346873;;Звуковая карта Creative Sound Blaster Omni Surround 5.1;Компьютерная техника->Комплектующие->Звуковые карты;4895;25.09.2020;;;3;"Портативная звуковая карта, которая позволит расширить мультимедийные возможности ноутбука или стационарного компьютера. Интерфейс подключения – классический USB. Может похвастаться поддержкой технологии Dolby Digital Live для объёмного 5.1-канального звука. Оборудована высокотехнологичным усилителем для наушников с сопротивлением 600 Ом. Также отметим встроенный двойной микрофон со специальной технологией CrystalVoice для максимально чистой записи. Поддерживается возможность работы с компьютерами производства Apple. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">20</span> оценок)</span></div>";;Creative;0;;;;346873_-748148818.jpg ecdnkcgz751_1118369977.jpg ecdnkp7xpp1_-729880156.jpg;http://magazilla.ru/jpg_zoom1/346873.jpg http://mzimg.com/big/51/ecdnkcgz751.jpg http://mzimg.com/big/p1/ecdnkp7xpp1.jpg;http://magazilla.ru/desc/creative-sound-blaster-omni-surround-5-1/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>Creative CA0189-2AG</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Digital Live</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>16 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>96 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>100 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников, Пульт ДУ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2 / линейный, микрофон /</td>
</tr>

<tr>

<td>RCA</td><td>2</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;05.янв;Creative CA0189-2AG;Dolby Digital Live;;16 бит;96 кГц;100 дБ;Усилитель для наушников, Пульт ДУ;2 / линейный, микрофон /;1;2;да;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;346677;;Звуковая карта Asus Xonar DX;Компьютерная техника->Комплектующие->Звуковые карты;4466;22.10.2020;;;8;"Модель можно причислить к решениям среднего уровня в семействе игровых звуковых карт Xonar. Сам же производитель позиционирует её как альтернативу “простому и скучному” встроенному звуку. Может похвастаться поддержкой 7.1-канального звука, стандарта ASIO и полного спектра технологий Dolby Home Theater. Подобные решения позволяют в полной мере насладиться любимыми играми, фильмами и музыкой. Соотношение сигнал/шум находится на достойном уровне в 116 дБ. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">57</span> оценок)</span></div>";;Asus;0;;;;346677_233187246.jpg;http://magazilla.ru/jpg_zoom1/346677.jpg;http://magazilla.ru/desc/asus-xonar-dx/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>ASUS AV100</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Digital Live, Dolby Headphone, Dolby Virtual Speaker / Dolby Pro Logic /</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Дополнительное питание</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>116 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный/микрофон /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;07.янв;ASUS AV100;Dolby Digital Live, Dolby Headphone, Dolby Virtual Speaker / Dolby Pro Logic /;да;24 бит;192 кГц;116 дБ;;1 / линейный/микрофон /;1;;;да;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;343021;;Звуковая карта Asus Xonar U7;Компьютерная техника->Комплектующие->Звуковые карты;7562,5;01.08.2018;;;11;"Внешняя звуковая карта бюджетной категории, способная похвастаться как привлекательным внешним видом, так и хорошей аппаратной “начинкой”. К основным преимуществам модели стоит отнести возможность воспроизведения 7.1-канального звука, поддержку стандарта ASIO, а также максимальную частоту дискретизации на уровне 192 кГц. Что касается набора портов, то производитель снабдил устройство 4 выходами mini-Jack, 2 не балансыми разъёмами RCA и одним коаксиальным S/P-DIF. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">5</span> оценок)</span></div>";;Asus;0;;;;343021_-1347713962.jpg f8845z55401_-897620595.jpg ebi8e7wkgg1_-1558345391.jpg f8846ac0aq1_-301057594.jpg;http://magazilla.ru/jpg_zoom1/343021.jpg http://mzimg.com/big/01/f8845z55401.jpg http://mzimg.com/big/g1/ebi8e7wkgg1.jpg http://mzimg.com/big/q1/f8846ac0aq1.jpg;http://magazilla.ru/desc/asus-xonar-u7/;"<table>

<tr>

<td>Вид</td><td>обычная</td>
</tr>

<tr>

<td>Тип</td><td>внешняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>USB</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>C-Media 6632A</td>
</tr>

<tr>

<td>Поддержка стандартов</td><td>Dolby Home Theater v4</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Поддержка Mac</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Динамический диапазон</td><td>110 дБ</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>114 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / линейный вход/микрофон /</td>
</tr>

<tr>

<td>RCA</td><td>2 / не балансный /</td>
</tr>

<tr>

<td>Коаксиальный S/P-DIF</td><td>1</td>
</tr>

</table>

";обычная;внешняя;USB;07.янв;C-Media 6632A;Dolby Home Theater v4;да;24 бит;192 кГц;114 дБ;Усилитель для наушников;1 / линейный вход/микрофон /;;2 / не балансный /;да;;110 дБ;1;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;347557;;Звуковая карта Creative Sound Blaster Audigy Fx;Компьютерная техника->Комплектующие->Звуковые карты;2731,3;16.06.2018;;;4;"Может послужить превосходным решением для замены простого и скучного “встроенного звука” в домашнем стационарном компьютере. Модель способна обеспечить объёмное 5.1-канальное звучание. Может похвастаться встроенным усилителем для наушников с сопротивлением 600 Ом, что гарантирует студийный уровень воспроизведения. Заявленное соотношение сигнал/шум составляет 106 дБ. Устройство располагает поддержкой технологией SBX Pro Studio для улучшения воспроизведения и записи звука. <div rel=""v:rating""><span typeof=""v:Rating"">Рейтинг модели: <span property='v:value'>4</span> из <span property=""v:best"">5</span> (<span property=""v:count"">9</span> оценок)</span></div>";;Creative;0;;;;347557_-63245919.jpg eci9ecev6q1_514011402.jpg;http://magazilla.ru/jpg_zoom1/347557.jpg http://mzimg.com/big/q1/eci9ecev6q1.jpg;http://magazilla.ru/desc/creative-sound-blaster-audigy-fx/;"<table>

<tr>

<td>Вид</td><td>аудиофильская (Hi-Fi)</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>5.1</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>106 дБ</td>
</tr>

<tr>

<td>Дополнительно</td><td>Усилитель для наушников / до 600 Ом /</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>2 / линейный, микрофон /</td>
</tr>

</table>

";аудиофильская (Hi-Fi);внутренняя;PCIe;05.янв;;;;24 бит;192 кГц;106 дБ;Усилитель для наушников / до 600 Ом /;2 / линейный, микрофон /;;;;;;;;;;;;;;;;;;;;;;;
Компьютерная техника;Комплектующие;Звуковые карты;1183076;;Звуковая карта Asus Xonar AE;Компьютерная техника->Комплектующие->Звуковые карты;4887,3;06.08.2019;;;13;"Соотношение сигнал/шум (дБ): 110; Макс. частота дискретизации (кГц): 192; Разрядность (бит): 24; Количество каналов: 7.1; Интерфейс подключения: PCIe; Тип: внутренняя; Вид: геймерская";;Asus;0;;;;1183076_-728619391.jpg fifv6gif5y1_600307501.jpg fifv6gsq501_-2038906198.jpg fifv6gysfp1_199688131.jpg;http://magazilla.ru/jpg_zoom1/1183076.jpg http://mzimg.com/big/y1/fifv6gif5y1.jpg http://mzimg.com/big/01/fifv6gsq501.jpg http://mzimg.com/big/p1/fifv6gysfp1.jpg;http://magazilla.ru/desc/asus-xonar-ae/;"<table>

<tr>

<td>Вид</td><td>геймерская</td>
</tr>

<tr>

<td>Тип</td><td>внутренняя</td>
</tr>

<tr>

<td>Интерфейс подключения</td><td>PCIe</td>
</tr>

<tr>

<td>Количество каналов</td><td>7.1</td>
</tr>

<tr>

<td>Аудиочип</td><td>C-Media 6632AE</td>
</tr>

<tr>

<td>Поддержка ASIO</td><td>да</td>
</tr>

<tr>

<td>Разрядность</td><td>24 бит</td>
</tr>

<tr>

<td>Макс. частота дискретизации</td><td>192 кГц</td>
</tr>

<tr>

<td>Соотношение сигнал/шум</td><td>110 дБ</td>
</tr>

<tr>

<td>mini-Jack (3.5 мм)</td><td>1 / комбинированный Mic/Line /</td>
</tr>

<tr>

<td>Оптический S/P-DIF</td><td>1</td>
</tr>

</table>

";геймерская;внутренняя;PCIe;07.янв;C-Media 6632AE;;да;24 бит;192 кГц;110 дБ;;1 / комбинированный Mic/Line /;1;;;;;;;;;;;;;;;;;;;;;;
